"sifra";"podsifra";"skola";"ime_ravnatelja";"prezime_ravnatelja"
"08-058-504";"0-0";Hotelijersko-turistička škola;Ksenija;Beljan
"21-114-068";"0-0";Osnovna škola Voltino;Ksenija;Gluhak
"08-071-012";"0-0";Osnovna škola Kozala;Kim;Anić
"11-327-001";"0-0";Osnovna škola Lipik;Klaudija;Kovač
"17-461-001";"0-0";Osnovna škola Gradac;Koni;Bulfon
"21-114-117";"0-0";Poliklinika za rehabilitaciju slušanja i govora Suvag;Koraljka;Bakota
"07-012-001";"0-0";Osnovna škola Vladimira Nazora;Kornelija;Častek
"21-114-106";"0-0";Osnovna škola Ivana Granđe;Leonida;Udovičić
"12-346-001";"0-0";Osnovna škola Antun Mihanović Nova Kapela Batrina;Lidija;Grozdanović
"04-034-505";"0-0";Ekonomsko-turistička škola;Lidija;Mikšić
"14-001-002";"0-0";Osnovna škola Dr. Franjo Tuđman;Lidija;Šumiga
"17-093-001";"0-0";Osnovna škola Vrgorac;Krešimir;Kuran
"10-089-501";"0-0";Gimnazija Petra Preradovića Virovitica;Kristijan;Gostimir
"13-362-001";"0-0";Osnovna škola Valentin Klarin Preko;Kristijan;Smud
"14-060-515";"0-0";Škola primijenjene umjetnosti i dizajna Osijek;Kristina;Kopf
"18-006-501";"0-0";Srednja škola "Vladimir Gortan" - Scuola media superiore "Vladimir Gortan";Dolores;Mihelić Malbašić
"18-069-003";"0-0";Osnovna škola Centar;Loreta;Ribarić
"21-114-087";"0-0";I. osnovna škola Dugave;Kristina;Vidović
"19-018-010";"0-0";Osnovna škola Montovjerna;Lucija;Vujica
"16-431-001";"0-0";Osnovna škola Zrinskih Nuštar;Krunoslav;Šarić
"01-550-001";"0-0";Osnovna škola Bedenica;Krunoslav;Ujlaki
"21-114-066";"0-0";Osnovna škola Matije Gupca;Ljiljana;Klinger
"16-096-002";"0-0";Osnovna škola Dragutina Tadijanovića;Lidija;Miletić
"14-060-511";"0-0";Ekonomska i upravna škola Osijek;Lidija;Žaper
"19-517-001";"0-0";Osnovna škola Vela Luka;Lucijana;Mirošević
"02-552-001";"0-0";Osnovna škola Gornje Jesenje;Ljerka;Malogorski Dragoslavić
"08-071-019";"0-0";Osnovna škola Turnić;Ljiljana;Kulaš - Jutrović
"10-059-001";"0-0";Osnovna škola Ivane Brlić-Mažuranić Orahovica;Maja;Škraba
"15-081-010";"0-0";Katolička osnovna škola;S. Mandica;Starčević
"15-081-012";"0-0";Osnovna škola "Meterize";Margit;Vrbičić
"21-114-041";"0-0";Osnovna škola Žitnjak;Margita;Madunić Kaniški
"21-114-156";"0-0";Osnovna škola Kajzerica;Majda;Tometić
"18-007-501";"0-0";Srednja škola Buzet;Margareta;Gumilar
"20-527-003";"0-0";Osnovna škola Draškovec;Margit;Mirić
"06-260-001";"0-0";Osnovna škola prof. Franje Viktora Šignjara;Marica;Cik Adaković
"17-047-002";"0-0";Osnovna škola Stjepana Ivičevića;Marica;Gržić
"15-081-007";"0-0";Osnovna škola Vrpolje;Marija;Konjevoda
"17-456-002";"0-0";Osnovna škola Runović;Marija;Biočić
"21-114-085";"0-0";Osnovna škola Gustava Krkleca;Marija;Luković
"18-068-001";"0-0";Osnovna škola Poreč;Marija;Mufić Santin
"17-126-501";"0-0";Prirodoslovna škola Split;Marija;Pustak
"15-036-001";"0-0";Osnovna škola Domovinske zahvalnosti;Marija;Stojanović
"16-433-003";"0-0";Osnovna škola Stjepana Antolovića;Marija;Grgurovac
"03-025-501";"0-0";Srednja škola Glina;Marija;Margušić-Novosel
"15-416-002";"0-0";Osnovna škola Čista Velika;Marijan;Belamarić
"16-111-002";"0-0";Osnovna škola Mate Lovraka;Marijan;Oršolić
"01-164-001";"0-0";Osnovna škola Dubrava;Marijana;Kozumplik Kemenović
"12-348-002";"0-0";Osnovna škola Vladimir Nazor;Marija;Petričević
"10-089-506";"0-0";Katolička klasična gimnazija s pravom javnosti u Virovitici;Marijana;Novak Stanić
"16-425-001";"0-0";Osnovna škola Franjo Hanaman;Marijana;Raguž
"08-071-517";"0-0";Prometna škola;Marijeta;Mašić
"20-010-010";"0-0";Osnovna škola Kuršanec;Marija;Tepalović
"19-049-501";"0-0";Srednja škola Metković;Marijo;Obradović
"17-126-514";"0-0";Tehnička škola za strojarstvo i mehatroniku;Marin;Tvrdić
"03-076-507";"0-0";Ekonomska škola Sisak;Marina;Jovanić
"21-114-138";"0-0";Osnovna škola Luka;Marina;Sabolović
"10-315-001";"0-0";Osnovna škola Suhopolje;Anto;Škraba
"19-602-001";"0-0";Osnovna škola Župa dubrovačka                                                    ;Anton;Jurkić
"08-071-503";"0-0";Trgovačka i tekstilna škola u Rijeci;Antonija;Bukša
"20-526-001";"0-0";Osnovna škola Podturen;Marijana;Cerovec
"21-114-593";"0-0";Glazbena škola Vatroslava Lisinskog;Antonio;Mrčela
"13-357-002";"0-0";Osnovna škola braće Radić;Antonio;Zubčić
"05-238-001";"0-0";Osnovna škola Sveti Đurđ;Mario;Bontek
"21-114-007";"0-0";Osnovna škola Ksavera Šandora Gjalskog;Mario;Keča
